tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
765,Maria,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 90.3 cm,,00:00.0,adult,f,,glue,,,,,765-Maria,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
767,Karla,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 89.5 cm,,00:00.0,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,767-Karla,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
766,Helber,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 118.5 cm,,00:00.0,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,766-Helber,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
769,Wilman,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 109.5 cm,,00:00.0,adult,m,,glue,,,,,769-Wilman,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
771,Lolo,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 151 cm,,00:00.0,adult,m,,glue,,,,,771-Lolo,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
770,Delmira,Chelonoidis porteri,00:00.0,00:00.0,domed: carapace length 100 cm,,00:00.0,adult,f,,glue,,,,,770-Delmira,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
774,Carolina,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 105 cm,,00:00.0,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,774-Carolina,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
775,Sebastian,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 142 cm,,00:00.0,adult,m,,glue,,,tag battery life over,,775-Sebastian Keynes,,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1021,Patty,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 93 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),animal never found again,other,1021-Patty,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1022,Wacho,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 150.2 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),never found again,other,1022-Wacho,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
